current mass in position 19,x_c,x_f
4.043,48.58,46
4.044,48.58,46
4.045,48.58,46
4.046,48.58,46
4.047,48.58,46
4.048,48.58,46
4.049,48.58,46
4.05,48.58,46
4.051,48.58,46
4.052,48.58,46
4.053,48.58,46
4.054,48.58,46
4.055,48.58,46
4.056,48.58,46
4.057,48.58,46
4.058,48.58,46
4.059,48.58,46
4.06,48.579,46
4.061,48.579,46
4.062,48.579,46
4.063,48.579,46
4.064,48.579,46
4.065,48.579,46
4.066,48.579,46
4.067,48.579,46
4.068,48.579,46
4.069,48.579,46
4.07,48.579,46
4.071,48.579,46
4.072,48.579,46
4.073,48.579,46
4.074,48.579,46
4.075,48.579,46
4.076,48.579,46
4.077,48.579,46
4.078,48.578,46
4.079,48.578,46
4.08,48.578,46
4.081,48.578,46
4.082,48.578,46
4.083,48.578,46
4.084,48.578,46
4.085,48.578,46
4.086,48.578,46
4.087,48.578,46
4.088,48.578,46
4.089,48.578,46
4.09,48.578,46
4.091,48.578,46
4.092,48.578,46
4.093,48.578,46
4.094,48.578,46
4.095,48.578,46
4.096,48.577,46
4.097,48.577,46
4.098,48.577,46
4.099,48.577,46
4.1,48.577,46
4.101,48.577,46
4.102,48.577,46
4.103,48.577,46
4.104,48.577,46
4.105,48.577,46
4.106,48.577,46
4.107,48.577,46
4.108,48.577,46
4.109,48.577,46
4.11,48.577,46
4.111,48.577,46
4.112,48.577,46
4.113,48.576,46
4.114,48.576,46
4.115,48.576,46
4.116,48.576,46
4.117,48.576,46
4.118,48.576,46
4.119,48.576,46
4.12,48.576,46
4.121,48.576,46
4.122,48.576,46
4.123,48.576,46
4.124,48.576,46
4.125,48.576,46
4.126,48.576,46
4.127,48.576,46
4.128,48.576,46
4.129,48.576,46
4.13,48.576,46
4.131,48.575,46
4.132,48.575,46
4.133,48.575,46
4.134,48.575,46
4.135,48.575,46
4.136,48.575,46
4.137,48.575,46
4.138,48.575,46
4.139,48.575,46
4.14,48.575,46
4.141,48.575,46
4.142,48.575,46
4.143,48.575,46
4.144,48.575,46
4.145,48.575,46
4.146,48.575,46
4.147,48.575,46
4.148,48.575,46
4.149,48.574,46
4.15,48.574,46
4.151,48.574,46
4.152,48.574,46
4.153,48.574,46
4.154,48.574,46
4.155,48.574,46
4.156,48.574,46
4.157,48.574,46
4.158,48.574,46
4.159,48.574,46
4.16,48.574,46
4.161,48.574,46
4.162,48.574,46
4.163,48.574,46
4.164,48.574,46
4.165,48.574,46
4.166,48.574,46
4.167,48.573,46
4.168,48.573,46
4.169,48.573,46
4.17,48.573,46
4.171,48.573,46
4.172,48.573,46
4.173,48.573,46
4.174,48.573,46
4.175,48.573,46
4.176,48.573,46
4.177,48.573,46
4.178,48.573,46
4.179,48.573,46
4.18,48.573,46
4.181,48.573,46
4.182,48.573,46
4.183,48.573,46
4.184,48.572,46
4.185,48.572,46
4.186,48.572,46
4.187,48.572,46
4.188,48.572,46
4.189,48.572,46
4.19,48.572,46
4.191,48.572,46
4.192,48.572,46
4.193,48.572,46
4.194,48.572,46
4.195,48.572,46
4.196,48.572,46
4.197,48.572,46
4.198,48.572,46
4.199,48.572,46
4.2,48.572,46
4.201,48.572,46
4.202,48.571,46
4.203,48.571,46
4.204,48.571,46
4.205,48.571,46
4.206,48.571,46
4.207,48.571,46
4.208,48.571,46
4.209,48.571,46
4.21,48.571,46
4.211,48.571,46
4.212,48.571,46
4.213,48.571,46
4.214,48.571,46
4.215,48.571,46
4.216,48.571,46
4.217,48.571,46
4.218,48.571,46
4.219,48.571,46
4.22,48.57,46
4.221,48.57,46
4.222,48.57,46
4.223,48.57,46
4.224,48.57,46
4.225,48.57,46
4.226,48.57,46
4.227,48.57,46
4.228,48.57,46
4.229,48.57,46
4.23,48.57,46
4.231,48.57,46
4.232,48.57,46
4.233,48.57,46
4.234,48.57,46
4.235,48.57,46
4.236,48.57,46
4.237,48.57,46
4.238,48.569,46
4.239,48.569,46
4.24,48.569,46
4.241,48.569,46
4.242,48.569,46
4.243,48.569,46
4.244,48.569,46
4.245,48.569,46
4.246,48.569,46
4.247,48.569,46
4.248,48.569,46
4.249,48.569,46
4.25,48.569,46
4.251,48.569,46
4.252,48.569,46
4.253,48.569,46
4.254,48.569,46
4.255,48.568,46
4.256,48.568,46
4.257,48.568,46
4.258,48.568,46
4.259,48.568,46
4.26,48.568,46
4.261,48.568,46
4.262,48.568,46
4.263,48.568,46
4.264,48.568,46
4.265,48.568,46
4.266,48.568,46
4.267,48.568,46
4.268,48.568,46
4.269,48.568,46
4.27,48.568,46
4.271,48.568,46
4.272,48.568,46
4.273,48.567,46
4.274,48.567,46
4.275,48.567,46
4.276,48.567,46
4.277,48.567,46
4.278,48.567,46
4.279,48.567,46
4.28,48.567,46
4.281,48.567,46
4.282,48.567,46
4.283,48.567,46
4.284,48.567,46
4.285,48.567,46
4.286,48.567,46
4.287,48.567,46
4.288,48.567,46
4.289,48.567,46
4.29,48.567,46
4.291,48.566,46
4.292,48.566,46
4.293,48.566,46
4.294,48.566,46
4.295,48.566,46
4.296,48.566,46
4.297,48.566,46
4.298,48.566,46
4.299,48.566,46
4.3,48.566,46
4.301,48.566,46
4.302,48.566,46
4.303,48.566,46
4.304,48.566,46
4.305,48.566,46
4.306,48.566,46
4.307,48.566,46
4.308,48.566,46
4.309,48.565,46
4.31,48.565,46
4.311,48.565,46
4.312,48.565,46
4.313,48.565,46
4.314,48.565,46
4.315,48.565,46
4.316,48.565,46
4.317,48.565,46
4.318,48.565,46
4.319,48.565,46
4.32,48.565,46
4.321,48.565,46
4.322,48.565,46
4.323,48.565,46
4.324,48.565,46
4.325,48.565,46
4.326,48.564,46
4.327,48.564,46
4.328,48.564,46
4.329,48.564,46
4.33,48.564,46
4.331,48.564,46
4.332,48.564,46
4.333,48.564,46
4.334,48.564,46
4.335,48.564,46
4.336,48.564,46
4.337,48.564,46
4.338,48.564,46
4.339,48.564,46
4.34,48.564,46
4.341,48.564,46
4.342,48.564,46
4.343,48.564,46
4.344,48.563,46
4.345,48.563,46
4.346,48.563,46
4.347,48.563,46
4.348,48.563,46
4.349,48.563,46
4.35,48.563,46
4.351,48.563,46
4.352,48.563,46
4.353,48.563,46
4.354,48.563,46
4.355,48.563,46
4.356,48.563,46
4.357,48.563,46
4.358,48.563,46
4.359,48.563,46
4.36,48.563,46
4.361,48.563,46
4.362,48.562,46
4.363,48.562,46
4.364,48.562,46
4.365,48.562,46
4.366,48.562,46
4.367,48.562,46
4.368,48.562,46
4.369,48.562,46
4.37,48.562,46
4.371,48.562,46
4.372,48.562,46
4.373,48.562,46
4.374,48.562,46
4.375,48.562,46
4.376,48.562,46
4.377,48.562,46
4.378,48.562,46
4.379,48.562,46
4.38,48.561,46
4.381,48.561,46
4.382,48.561,46
4.383,48.561,46
4.384,48.561,46
4.385,48.561,46
4.386,48.561,46
4.387,48.561,46
4.388,48.561,46
4.389,48.561,46
4.39,48.561,46
